#{"t_start": 1778803850.4670432, "env_id": "None"}
r,l,t
150.267429,657,43001.377564
83.039321,806,43084.227236
22.174363,150,43100.691483
69.263631,1380,43242.545907
161.030064,773,43322.054
117.857035,437,43367.531592
89.822861,537,43423.285681
144.962538,641,43489.462047
62.099913,342,43525.358724
-3.698815,50,43531.717766
101.810898,1500,43685.90717
133.062145,536,43741.444892
58.544282,302,43773.305909
168.289772,1500,43926.408711
45.827304,194,43947.333012
91.817709,1500,44101.323159
82.043071,1119,44215.863417
223.894236,1500,44368.935594
52.017607,273,44397.857653
10.693441,147,44414.019525
175.612029,988,44516.055567
229.912868,1500,44669.148724
205.551596,1500,44822.233377
135.485966,1200,44945.611524
69.548776,287,44975.944771
-43.136917,826,45060.936437
137.658775,573,45120.185096
46.238454,252,45146.976139
-0.124399,88,45157.169012
54.493437,260,45184.775963
122.448542,574,45244.155876
36.685117,240,45269.730534
178.614133,1323,45405.594364
76.261749,397,45447.07345
76.716579,1500,45600.12075
4.603489,169,45618.49795
45.794258,371,45657.30269
27.642779,174,45676.226836
71.457091,365,45714.457342
120.735645,520,45769.18474
125.140115,486,45819.650972
31.581581,207,45841.911595
143.670857,644,45908.343474
33.60551,185,45928.370366
28.221425,166,45946.455428
24.651366,155,45963.43521
127.786575,523,46017.637215
40.012496,188,46037.974975
60.863034,479,46087.803685
40.660388,189,46108.24563
112.484928,405,46150.541938
118.422564,1134,46267.316138
106.401587,1500,46420.536168
68.208289,392,46461.492334
9.551083,127,46475.628562
31.748183,182,46495.348147
128.1892,535,46550.801682
22.719822,142,46566.468491
118.343971,398,46608.708719
37.121502,176,46627.834648
123.483137,465,46676.165818
25.547461,142,46691.831948
113.689275,420,46735.583526
41.836843,200,46757.121613
145.070847,667,46825.940837
116.202945,405,46868.183487
126.632756,993,46970.046123
126.545228,1500,47123.904446
87.90477,512,47177.029426
93.648163,1500,47330.37641
40.745569,175,47349.378563
72.034552,1500,47503.354369
110.736324,343,47539.384439
190.983174,1429,47685.409373
32.452092,225,47709.476712
144.695154,1063,47818.522376
51.56657,277,47847.84182
48.639906,252,47875.337586
64.069471,369,47913.965464
29.496707,185,47933.97371
221.497338,1500,48087.133867
119.229816,1500,48240.160322
9.909347,128,48254.425617
24.673022,140,48269.871763
65.834407,379,48310.232617
118.031821,1409,48454.179388
202.662058,1383,48595.472111
121.220633,479,48645.23777
81.550782,697,48717.814377
60.584474,388,48758.379732
25.84033,177,48777.604774
24.523638,167,48795.8013
31.478449,185,48815.827718
102.849384,1394,48958.350761
120.429953,436,49003.797987
66.220919,1103,49117.903955
134.139238,613,49181.961802
127.433348,483,49232.150675
32.24901,195,49253.174092
134.006959,619,49317.12093
117.177637,534,49372.44833
195.111888,1500,49525.686445
43.616326,211,49548.313646
145.559044,607,49611.702879
214.522926,1500,49764.952137
62.328163,1500,49918.170444
38.522932,183,49937.976361
38.08271,172,49956.695722
70.885341,420,50001.234412
52.412449,348,50037.759665
60.001224,319,50071.323882
21.667685,144,50087.191653
94.645416,524,50141.542152
129.56498,576,50201.127566
38.649615,167,50219.306573
124.741854,456,50266.742376
34.116039,201,50288.395238
132.114838,554,50345.741934
20.398794,1500,50500.186116
67.145579,273,50529.134841
59.988843,369,50567.773203
41.711641,260,50595.396961
30.257836,186,50615.524924
152.584783,1214,50739.711675
140.305011,651,50806.910449
82.154232,1500,50960.82127
212.093509,1500,51113.954594
130.096698,1005,51216.924397
27.50545,181,51236.532896
53.358242,321,51271.051844
71.801227,388,51311.660382
33.479322,185,51331.669047
42.353501,202,51353.415745
76.941582,498,51405.209312
63.316955,638,51471.037244
32.175147,175,51490.017703
38.741,1500,51643.141363
40.403745,292,51673.985196
225.324621,1500,51827.849745
138.324813,653,51895.253566
151.013285,645,51961.807499
50.782148,433,52006.947778
95.865767,1156,52125.891678
14.434284,139,52141.219589
59.426683,1500,52294.397763
130.551052,946,52391.444435
124.05213,500,52443.308073
56.380754,294,52474.370253
129.148027,479,52524.781205
10.941068,137,52539.937037
185.637651,1331,52675.949187
69.400308,371,52714.80923
62.998159,307,52745.977161
40.614014,200,52767.513791
36.718485,172,52786.216554
142.404935,1118,52900.68951
52.188135,1500,53054.607149
28.67729,156,53071.703449
125.368753,1500,53225.005012
41.538977,181,53244.611478
50.181841,268,53273.023716
129.958703,1500,53426.837355
203.842467,1500,53580.825938
148.213668,661,53648.996098
12.943354,134,53663.831891
121.427317,465,53712.154437
60.877195,291,53742.936783
62.269561,1126,53859.019036
70.005352,352,53895.935618
166.746767,1299,54028.769989
52.87913,339,54064.384981
34.70483,262,54092.249673
123.091054,391,54133.103392
125.754044,1500,54286.986693
134.511348,487,54337.579444
38.608837,205,54359.595432
316.730486,1500,54512.705267
160.197992,1080,54623.609367
73.74941,473,54673.507521
29.411862,179,54692.927872
117.46012,1500,54846.536282
77.612977,427,54891.063997
57.259517,317,54924.41385
53.467563,238,54949.806736
135.042371,599,55011.722726
146.076331,630,55077.541955
126.297853,494,55128.831815
125.817791,1304,55262.292549
65.017358,307,55294.657088
34.236528,239,55320.136242
25.882457,178,55339.42971
72.901045,497,55391.03682
26.735445,166,55409.128852
40.838542,206,55430.059206
35.819426,155,55447.037658
73.586812,492,55498.813017
61.14872,249,55525.296073
22.974466,151,55541.858188
25.832361,146,55557.934181
193.702996,1500,55711.099991
94.837363,1076,55821.556196
25.759213,159,55838.960632
192.336161,1351,55977.773349
127.015643,454,56024.989652
98.206659,749,56102.200103
41.240454,361,56140.046003
26.923516,156,56157.135446
67.718537,345,56193.315715
44.223875,260,56220.958433
165.577237,1500,56374.706864
79.561002,455,56422.038246
40.839495,181,56441.653067
64.496439,565,56500.145798
130.808566,473,56549.298899
14.212412,393,56590.360901
175.084428,1157,56708.754308
42.126623,1500,56862.606855
193.135672,1500,57015.710405
125.155611,465,57064.03457
35.654602,184,57083.94508
134.680004,558,57141.704661
61.43687,289,57172.274977
73.30551,784,57253.615514
107.450991,326,57287.898103
118.858042,1500,57441.289408
49.176643,224,57465.299081
179.043751,1500,57619.09747
127.199926,502,57671.188932
119.122724,1500,57824.290008
50.827959,373,57863.39083
41.142576,198,57884.744653
48.954277,248,57911.192292
24.988434,173,57929.995876
29.811199,186,57950.129494
39.023402,227,57974.395815
67.441757,344,58010.492486
85.591514,724,58085.765356
54.017302,1141,58202.707445
39.531706,178,58221.998883
127.040123,1500,58375.298208
108.987385,896,58468.140473
83.474842,562,58526.313194
63.234835,299,58557.88712
116.4365,402,58599.871344
143.033883,726,58674.632822
197.405556,1500,58827.733587
129.102415,550,58885.348626
190.565341,1500,59038.506449
125.610982,441,59084.444685
16.573267,112,59097.071793
48.39747,1239,59223.885459
30.439444,176,59242.994166
126.08748,574,59303.076579
23.034353,169,59321.45726
10.643753,135,59336.395503
188.197636,1216,59460.788213
111.16223,1266,59590.363466
123.978152,486,59640.81152
55.38984,530,59695.772131
93.462768,1075,59806.566278
130.210592,1500,59960.075428
69.497076,451,60007.032307
131.671199,560,60065.00051
151.746024,963,60164.447119
68.314704,852,60252.302815
24.071884,182,60272.021361
115.268367,420,60315.81293
228.012571,1500,60469.075309
135.090983,660,60537.179586
156.453021,822,60622.647524
71.910136,399,60664.436631
55.357471,300,60696.117127
225.648217,1500,60849.366424
25.476399,156,60866.443645
75.675044,658,60934.416189
-13.924324,1500,61088.41635
131.615683,585,61148.949105
70.157337,449,61195.679524
119.086679,519,61249.524434
149.659452,631,61314.720781
114.050246,465,61363.137436
62.162856,515,61417.258806
79.588163,1500,61570.4545
-14.846029,1500,61723.939486
25.326901,155,61740.930446
56.591588,360,61778.66059
142.514717,1500,61932.768122
75.746901,485,61983.346064
11.348952,131,61997.894816
53.543308,1500,62151.068416
130.896875,903,62243.756625
21.847752,135,62258.695733
103.366451,1500,62412.519862
231.191933,1500,62565.665358
103.922849,659,62634.056113
214.17054,1500,62787.880234
130.57739,558,62845.640656
182.981293,1500,62998.967873
97.941868,759,63077.062101
27.010486,165,63095.034796
27.166452,164,63113.618972
24.908296,153,63130.393509
25.496953,167,63148.608276
31.730566,177,63167.798644
124.587462,1500,63321.192557
24.522195,147,63337.377751
35.668306,173,63356.170935
138.009559,555,63413.63105
23.975,151,63430.20295
105.159226,1289,63562.802468
57.946219,324,63596.871122
148.479064,618,63660.748714
112.336272,737,63736.569626
28.200668,171,63755.171459
29.933295,165,63773.17239
39.50654,206,63795.316863
25.53139,146,63811.377656
193.379505,1500,63965.188704
21.348862,133,63979.953263
46.275597,218,64003.304847
142.272974,612,64066.47773
26.900475,160,64083.95059
174.621149,816,64167.834151
39.280453,164,64185.696507
30.503051,180,64205.201283
26.153169,321,64238.964626
52.388254,329,64273.570103
128.021317,483,64323.741953
46.762337,299,64355.330023
86.593495,755,64433.757164
28.681572,150,64450.216391
65.358665,421,64494.119047
39.4808,190,64514.614683
145.018087,588,64575.464055
34.042622,211,64598.105148
103.948076,263,64626.007503
110.986285,330,64660.713104
110.512517,342,64696.61624
99.591044,1481,64848.423264
147.679482,628,64913.287837
66.432737,393,64954.368711
136.792706,522,65008.449955
238.703227,1500,65161.512059
62.36809,430,65206.329197
52.574606,501,65259.043988
28.652484,211,65281.690253
32.092149,138,65296.953192
65.018563,1500,65450.306747
139.135558,599,65512.438908
41.644621,219,65535.92938
134.439314,548,65592.781471
122.501834,461,65641.049136
112.493627,1500,65797.595198
140.536396,613,65861.286655
39.282673,166,65879.401748
25.993736,158,65896.686371
92.892416,1500,66050.489171
127.274586,456,66098.739182
74.939845,541,66154.854873
126.833741,543,66211.118939
142.453838,587,66271.87389
11.4791,66,66279.853104
124.471034,475,66329.361497
